"Tabela 3019 - Domicílios particulares com insegurança alimentar e com somente moradores de 18 anos ou mais de idade, por tipo de insegurança alimentar - Ranking ascendente"
"Variável - Domicílios particulares com insegurança alimentar e com somente moradores de 18 anos ou mais de idade (Mil unidades)"
"#";"Unidade da Federação";"Ano x Tipo de insegurança alimentar"
"#";"Unidade da Federação";"2004"
"#";"Unidade da Federação";"Total"
"1";"Amapá";"7"
"2";"Roraima";"15"
"3";"Acre";"18"
"4";"Amazonas";"26"
"5";"Rondônia";"31"
"6";"Sergipe";"34"
"7";"Distrito Federal";"40"
"8";"Tocantins";"42"
"9";"Mato Grosso do Sul";"50"
"10";"Mato Grosso";"76"
"11";"Alagoas";"82"
"12";"Espírito Santo";"83"
"13";"Santa Catarina";"85"
"14";"Piauí";"111"
"15";"Rio Grande do Norte";"117"
"16";"Paraíba";"117"
"17";"Pará";"170"
"18";"Maranhão";"190"
"19";"Goiás";"198"
"20";"Paraná";"251"
"21";"Ceará";"257"
"22";"Pernambuco";"303"
"23";"Rio Grande do Sul";"305"
"24";"Bahia";"488"
"25";"Rio de Janeiro";"522"
"26";"Minas Gerais";"537"
"27";"São Paulo";"891"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios"

"Notas"
"1 - Os dados desta tabela não foram reponderados pelo peso definido pela Contagem da População de 2007."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
