"Tabela 3022 - Domicílios particulares com insegurança alimentar e com pelo menos um morador de menos de 18 anos de idade, por tipo de insegurança alimentar"
"Variável - Domicílios particulares com insegurança alimentar e com pelo menos um morador de menos de 18 anos de idade (Mil unidades)"
"";"Ano x Tipo de insegurança alimentar"
"";"2004"
"";"Total"
"Brasil";"12978"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios"

"Notas"
"1 - Os dados desta tabela não foram reponderados pelo peso definido pela Contagem da População de 2007."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
